Fjöldi starfandi, starfa og vinnustunda eftir atvinnugreinum og ársfjórðungum 1991-2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
Ársfjórðungur;Mælikvarði;Starfandi;A. Landbúnaður, skógrækt og fiskveiðar;B-E. Framleiðsla, námugröftur, veitustarfsemi og meðhöndlun úrgangs;C. Framleiðsla;F. Byggingarstarfsemi og mannvirkjagerð;G-I. Heildsala og verslun, samgöngur og geymslusvæði, rekstur veitinga- og gististaða;J. Upplýsingar og fjarskipti;K. Fjármála- og vátryggingastarfsemi;M-N. Ýmis sérhæfð þjónusta;O-Q. Opinber stjórnsýsla, fræðslustarfsemi, heilbrigðis- og félagsþjónusta;R-U. Önnur starfsemi;Samtals
1991Á1;Fjöldi starfa;Starfandi alls;13200;25200;23500;6800;32000;6300;5400;7800;41600;7000;145800
1991Á2;Fjöldi starfa;Starfandi alls;14000;26300;24500;7900;34000;6400;5500;8200;45400;7500;155800
1991Á3;Fjöldi starfa;Starfandi alls;14000;26800;24800;8600;35300;6500;5600;8300;46400;7300;159300
1991Á4;Fjöldi starfa;Starfandi alls;13700;26000;24300;8500;33900;6300;5400;8100;42900;7500;153000
1992Á1;Fjöldi starfa;Starfandi alls;13500;24200;22500;6600;32400;6000;5500;7700;43200;6800;146300
1992Á2;Fjöldi starfa;Starfandi alls;14200;25300;23500;7600;34500;6100;5700;8000;47200;7300;156400
1992Á3;Fjöldi starfa;Starfandi alls;14200;25700;23800;8300;35700;6100;5700;8100;48300;7100;159800
1992Á4;Fjöldi starfa;Starfandi alls;13900;24900;23300;8300;34300;5900;5500;8000;44700;7400;153500
1993Á1;Fjöldi starfa;Starfandi alls;13000;24400;22700;6700;32200;5300;5500;7900;44000;6700;146200
1993Á2;Fjöldi starfa;Starfandi alls;13700;25500;23700;7700;34400;5400;5600;8300;48000;7300;156400
1993Á3;Fjöldi starfa;Starfandi alls;13600;26000;24100;8400;35800;5400;5700;8500;49200;7200;160300
1993Á4;Fjöldi starfa;Starfandi alls;13300;25400;23700;8400;34400;5300;5400;8400;45600;7600;154400
1994Á1;Fjöldi starfa;Starfandi alls;12900;25000;23400;7100;30400;5100;5100;8600;44800;7600;147100
1994Á2;Fjöldi starfa;Starfandi alls;13600;26200;24400;8100;32299;5200;5200;9000;48800;8300;157300
1994Á3;Fjöldi starfa;Starfandi alls;13600;26800;24800;8900;34000;5300;5200;9200;49900;8300;161700
1994Á4;Fjöldi starfa;Starfandi alls;13300;26200;24500;8800;32800;5300;5000;9000;46300;8700;156100
1995Á1;Fjöldi starfa;Starfandi alls;13100;24700;23000;7300;31600;6000;5200;8700;45600;8300;151100
1995Á2;Fjöldi starfa;Starfandi alls;13800;25800;24000;8200;33500;6200;5300;9100;49600;9000;161100
1995Á3;Fjöldi starfa;Starfandi alls;13700;26400;24500;9000;35100;6400;5300;9200;50700;8900;165600
1995Á4;Fjöldi starfa;Starfandi alls;13500;25900;24200;9000;33800;6300;5100;9000;47100;9300;159900
1996Á1;Fjöldi starfa;Starfandi alls;12900;24800;23200;6000;32100;6500;4700;8700;45800;8900;151300
1996Á2;Fjöldi starfa;Starfandi alls;13600;26000;24300;6800;34100;6700;4800;9100;49700;9500;161200
1996Á3;Fjöldi starfa;Starfandi alls;13500;26700;24800;7400;35600;6900;4900;9300;50800;9400;165200
1996Á4;Fjöldi starfa;Starfandi alls;13200;26100;24500;7500;34400;6800;4700;9100;47100;9700;159400
1997Á1;Fjöldi starfa;Starfandi alls;12400;25400;23800;8600;32700;6200;4500;9000;45600;9200;154500
1997Á2;Fjöldi starfa;Starfandi alls;13000;26600;24900;9500;34600;6400;4600;9400;49400;9800;164300
1997Á3;Fjöldi starfa;Starfandi alls;13000;27300;25300;10200;36300;6500;4700;9700;50500;9600;168700
1997Á4;Fjöldi starfa;Starfandi alls;12700;26700;25000;10100;35100;6500;4600;9500;46900;9900;162900
1998Á1;Fjöldi starfa;Starfandi alls;12000;24400;22600;7100;32200;6400;6200;9400;46000;9000;153500
1998Á2;Fjöldi starfa;Starfandi alls;12900;26100;24200;8200;34800;6800;6600;10100;50100;9500;165900
1998Á3;Fjöldi starfa;Starfandi alls;12800;26600;24500;8700;36600;6900;6700;10500;51600;9400;170500
1998Á4;Fjöldi starfa;Starfandi alls;12600;25500;23600;8100;36000;6900;6400;10200;47600;9600;163900
1999Á1;Fjöldi starfa;Starfandi alls;12100;23800;22100;7300;34800;7000;6400;9700;45700;8900;156500
1999Á2;Fjöldi starfa;Starfandi alls;12800;25200;23200;8400;37400;7400;6900;10400;50400;9500;169100
1999Á3;Fjöldi starfa;Starfandi alls;12600;25600;23400;9300;39000;7700;7200;10800;52000;9400;174400
1999Á4;Fjöldi starfa;Starfandi alls;12500;25100;23200;8900;38800;7700;6900;11200;48100;9600;169600
2000Á1;Fjöldi starfa;Starfandi alls;11600;23800;22000;7800;36800;8000;6900;11000;45900;8800;161400
2000Á2;Fjöldi starfa;Starfandi alls;12200;25000;23000;9300;39100;8400;7400;11800;50600;9400;174100
2000Á3;Fjöldi starfa;Starfandi alls;12000;25500;23300;10300;40300;8700;7700;12100;52100;9300;178800
2000Á4;Fjöldi starfa;Starfandi alls;11700;25500;23500;9900;39700;8600;7300;12000;48300;9400;173400
2001Á1;Fjöldi starfa;Starfandi alls;11000;23700;21700;8900;36900;8600;6700;11700;47800;8500;164600
2001Á2;Fjöldi starfa;Starfandi alls;11300;24300;22100;9800;39300;8800;7100;12500;52700;9200;175900
2001Á3;Fjöldi starfa;Starfandi alls;11500;25200;22800;10600;39900;8700;7300;12900;54500;9100;180600
2001Á4;Fjöldi starfa;Starfandi alls;11100;24400;22300;9700;38600;8100;6900;12500;50600;9300;172200
2002Á1;Fjöldi starfa;Starfandi alls;10400;22800;20800;8700;34700;7900;6600;11900;49000;8700;161800
2002Á2;Fjöldi starfa;Starfandi alls;10800;23900;21700;9700;36800;8000;7000;12600;54100;9400;173500
2002Á3;Fjöldi starfa;Starfandi alls;10700;24200;21800;10200;38000;8400;7200;13000;55900;9400;178100
2002Á4;Fjöldi starfa;Starfandi alls;10400;23300;21200;9600;36400;8200;6800;12600;51700;9600;170000
2003Á1;Fjöldi starfa;Starfandi alls;9900;22100;19900;8300;33700;8000;6000;12400;51000;9000;161200
2003Á2;Fjöldi starfa;Starfandi alls;10300;23500;21200;9300;36200;8300;6300;13200;56700;9800;174600
2003Á3;Fjöldi starfa;Starfandi alls;10300;24000;21400;10300;37800;8300;6400;13500;58600;9800;180000
2003Á4;Fjöldi starfa;Starfandi alls;10000;23500;21200;9900;36600;8100;6200;13200;53600;10100;172300
2004Á1;Fjöldi starfa;Starfandi alls;9300;22300;20000;8900;34200;8000;6100;12500;50600;9500;162500
2004Á2;Fjöldi starfa;Starfandi alls;9700;23900;21400;10100;36400;8300;6500;13400;55500;10400;175400
