Vísitala neysluverðs og breytingar, grunnur 1988=100;;;;;;;;;;;;
;;;;;;;;;;;;
Mánuður;Vísitala neysluverðs Vísitala;Vísitala neysluverðs Mánaðarbreyting, %;Vísitala neysluverðs Ársbreyting, %;Vísitala neysluverðs Ársbreyting síðasta mánuð, %;Vísitala neysluverðs Ársbreyting síðustu 3 mánuði, %;Vísitala neysluverðs Ársbreyting síðustu 6 mánuði, %;Vísitala neysluverðs án húsnæðis Vísitala;Vísitala neysluverðs án húsnæðis Mánaðarbreyting, %;Vísitala neysluverðs án húsnæðis Ársbreyting, %;Vísitala neysluverðs án húsnæðis Ársbreyting síðasta mánuð, %;Vísitala neysluverðs án húsnæðis Ársbreyting síðustu 3 mánuði, %;Vísitala neysluverðs án húsnæðis Ársbreyting síðustu 6 mánuði, %
1988M05;100.0;.;.;.;.;.;100.0;.;.;.;.;.
1988M06;103.4;3.40;.;49.4;.;.;103.8;3.80;.;56.4;.;.
1988M07;107.0;3.48;.;50.8;.;.;106.5;2.60;.;36.1;.;.
1988M08;109.3;2.15;.;29.1;42.7;.;108.7;2.07;.;27.8;39.6;.
1988M09;110.0;0.64;.;8.0;28.1;.;109.6;0.83;.;10.4;24.3;.
1988M10;110.4;0.36;.;4.5;13.3;.;110.1;0.46;.;5.6;14.2;.
1988M11;110.5;0.09;.;1.1;4.5;22.1;110.4;0.27;.;3.3;6.4;21.9
1988M12;110.7;0.18;.;2.2;2.6;14.6;110.9;0.45;.;5.6;4.8;14.1
1989M01;112.6;1.72;.;22.7;8.2;10.7;113.3;2.16;.;29.3;12.1;13.2
1989M02;114.2;1.42;.;18.4;14.1;9.2;114.8;1.32;.;17.1;16.9;11.5
1989M03;117.4;2.80;.;39.3;26.5;13.9;118.1;2.87;.;40.5;28.6;16.1
1989M04;119.9;2.13;.;28.8;28.6;18.0;120.6;2.12;.;28.6;28.4;20.0
1989M05;122.3;2.00;22.3;26.8;31.5;22.5;123.1;2.07;23.1;27.9;32.2;24.3
1989M06;125.9;2.94;21.8;41.6;32.3;29.3;126.9;3.09;22.3;44.0;33.3;30.9
1989M07;126.8;0.71;18.5;8.9;25.1;26.8;127.9;0.79;20.1;9.9;26.5;27.4
1989M08;128.5;1.34;17.6;17.3;21.9;26.6;130.1;1.72;19.7;22.7;24.8;28.4
1989M09;131.1;2.02;19.2;27.2;17.6;24.7;132.9;2.15;21.3;29.1;20.3;26.6
1989M10;133.7;1.98;21.1;26.6;23.6;24.3;135.0;1.58;22.6;20.7;24.1;25.3
1989M11;135.7;1.50;22.8;19.5;24.4;23.1;136.8;1.33;23.9;17.2;22.2;23.5
